,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Shimokizukuri,40.8061,140.3861,46.4,71,75,1.14,JP,1619935271
360,Zemio,5.0314,25.1361,70.27,96,99,2.64,CF,1619935272
361,Colón,9.3592,-79.9014,75.0,94,35,5.99,PA,1619935272
362,Saint George,37.1041,-113.5841,75.0,13,1,10.36,US,1619935272
363,Joensuu,62.6012,29.7632,33.8,40,0,3.44,FI,1619935273
364,Nasīrābād,26.3,74.7333,92.05,20,100,11.48,IN,1619935273
365,Vao,-22.6667,167.4833,74.43,72,92,26.46,NC,1619935274
366,Balabac,7.9868,117.0645,85.93,68,100,10.18,PH,1619935274
367,Wanaka,-44.7,169.15,48.52,59,0,1.39,NZ,1619935175
368,Sarti,40.1,23.9833,67.28,66,99,4.16,GR,1619935275
369,Omboué,-1.5746,9.2618,78.03,91,99,2.93,GA,1619935275
370,Port Blair,11.6667,92.75,86.58,66,14,10.56,IN,1619935000
371,Sovetskiy,61.3614,63.5842,48.06,50,92,8.66,RU,1619935276
372,Fort Nelson,58.8053,-122.7002,46.4,49,75,5.75,CA,1619935276
373,Karasjok,69.4719,25.5112,32.0,59,98,3.44,NO,1619935276
374,Wagar,16.1525,36.2032,88.41,34,99,14.2,SD,1619935277
375,Siilinjärvi,63.0833,27.6667,35.6,44,0,5.75,FI,1619935277
376,Saldanha,-33.0117,17.9442,55.4,62,0,6.96,ZA,1619935256
377,Saint-Augustin,51.226,-58.6502,35.06,95,100,10.49,CA,1619935278
378,Tabas,33.5959,56.9244,80.6,32,75,2.3,IR,1619935278
379,Garachiné,8.0647,-78.3628,77.38,83,99,6.55,PA,1619935279
380,Pathein,16.7833,94.7333,94.35,42,27,7.9,MM,1619935279
381,Ransang,8.9603,117.5828,86.41,68,59,5.3,PH,1619935280
382,Winnemucca,40.973,-117.7357,48.2,93,90,6.91,US,1619935280
383,Maniitsoq,65.4167,-52.9,34.38,69,26,7.4,GL,1619935280
384,Kanniyākumāri,8.0833,77.5667,86.85,65,74,5.95,IN,1619935281
385,Yokadouma,3.5167,15.05,71.38,82,89,1.34,CM,1619935281
386,Dzaoudzi,-12.7887,45.2699,84.2,84,75,8.05,YT,1619935282
387,San Patricio,28.017,-97.5169,66.99,100,75,3.44,US,1619935282
388,Oranjemund,-28.55,16.4333,69.87,33,0,22.44,NA,1619935282
389,Jämsä,61.8642,25.19,33.8,55,0,4.61,FI,1619935283
390,Russell,32.3502,-85.1999,64.4,94,1,1.66,US,1619935283
391,College,64.8569,-147.8028,44.6,39,75,5.75,US,1619935284
392,Kahului,20.8947,-156.47,75.2,69,40,16.11,US,1619935284
393,Ekuvukeni,-28.4675,30.1551,51.06,84,1,1.9,ZA,1619935285
394,Patterson,37.4716,-121.1297,60.8,51,1,5.75,US,1619935285
395,Santa Maria,-29.6842,-53.8069,58.6,76,10,3.58,BR,1619935285
396,Songea,-10.6833,35.65,66.2,94,40,5.75,TZ,1619935033
397,Tegul'det,57.3064,88.1667,40.89,76,99,10.6,RU,1619935286
398,Jalu,29.0331,21.5482,89.83,12,0,10.76,LY,1619935286
399,Rio Grande,-32.035,-52.0986,52.0,95,0,8.14,BR,1619935005
400,Tres Picos,15.8667,-93.5333,79.84,81,93,1.57,MX,1619935287
401,Bud,39.447,-86.1758,63.0,66,95,11.59,US,1619935287
402,Campina Verde,-19.5356,-49.4864,65.98,70,100,5.82,BR,1619935252
403,Houma,29.5958,-90.7195,73.99,88,90,8.05,US,1619935048
404,Tiszalök,48.0167,21.3833,62.6,88,99,6.91,HU,1619935288
405,Viedma,-40.8135,-62.9967,63.81,49,100,12.64,AR,1619935289
406,Samarai,-10.6167,150.6667,80.78,80,15,10.49,PG,1619935289
407,Kapuskasing,49.4169,-82.4331,32.0,93,97,8.05,CA,1619935290
408,Øksfjord,70.2396,22.3479,30.2,63,20,3.44,NO,1619935290
409,Suntar,62.1444,117.6319,36.77,99,100,4.45,RU,1619935290
410,Camacupa,-12.0167,17.4833,61.12,97,100,5.44,AO,1619935097
411,Havelock,34.8791,-76.9013,64.99,81,1,6.8,US,1619935291
412,Lesozavodsk,45.4794,133.4244,59.97,35,71,15.82,RU,1619935292
413,Javānrūd,34.7961,46.5172,64.4,29,5,6.2,IR,1619935292
414,Orthez,43.4884,-0.7724,43.0,100,0,2.3,FR,1619935292
415,Ternate,0.8,127.4,83.55,71,88,6.02,ID,1619935292
416,Upington,-28.4478,21.2561,55.4,67,0,5.75,ZA,1619935293
417,Sikonge,-5.6333,32.7667,66.2,94,40,6.24,TZ,1619935293
418,Nome,64.5011,-165.4064,26.6,68,1,16.11,US,1619935294
419,Palmer,42.1584,-72.3287,48.0,66,90,5.75,US,1619935294
420,Ushibukamachi,32.1906,130.0228,59.52,56,52,25.01,JP,1619935295
421,Teluknaga,-6.0989,106.6381,95.0,66,20,16.11,ID,1619935295
422,Puerto El Triunfo,13.2833,-88.55,82.4,94,75,6.91,SV,1619935296
423,Gra Lygia,35.0167,25.6833,87.01,36,0,13.8,GR,1619935296
424,Eyl,7.9803,49.8164,86.56,65,68,7.2,SO,1619935296
425,Salta,-24.7859,-65.4117,52.0,93,0,2.3,AR,1619935297
426,Raudeberg,61.9875,5.1352,41.0,76,17,13.96,NO,1619935297
427,Bonavista,48.6499,-53.1147,37.99,93,100,9.22,CA,1619935298
428,Terney,45.0503,136.6092,42.69,84,100,4.41,RU,1619935298
429,Swellendam,-34.0226,20.4417,39.2,93,10,3.44,ZA,1619935298
430,Tevaitoa,-16.7833,-151.5,80.82,69,62,5.7,PF,1619935299
431,Santa Fe,-31.6333,-60.7,66.0,78,52,1.99,AR,1619935299
432,Lázaro Cárdenas,17.9583,-102.2,76.91,71,88,5.7,MX,1619935300
433,Izhmorskiy,56.194,86.6414,39.83,69,84,11.61,RU,1619935300
434,Litovko,49.2361,135.1742,50.94,46,99,10.47,RU,1619935301
435,Lumeje,-11.55,20.7833,64.8,95,100,3.4,AO,1619935301
436,Doha,25.2867,51.5333,87.8,48,60,5.75,QA,1619935302
437,La Resolana,19.6,-104.4333,69.13,38,0,3.06,MX,1619935302
438,Sibolga,1.7427,98.7792,85.87,69,98,3.83,ID,1619935302
439,Miracema do Tocantins,-9.5618,-48.3967,72.9,88,100,1.99,BR,1619935303
440,Geraldton,-28.7667,114.6,75.2,31,0,21.85,AU,1619935303
441,Coyhaique,-45.5752,-72.0662,38.95,99,100,6.49,CL,1619935304
442,Bollnäs,61.3482,16.3946,37.0,72,37,1.01,SE,1619935304
443,Nur-Sultan,51.1801,71.446,60.8,20,0,13.42,KZ,1619935111
444,Erenhot,43.6475,111.9767,80.04,13,86,25.34,CN,1619935305
445,Amapá,1.0,-52.0,70.74,99,100,0.78,BR,1619935305
446,Ust-Tsilma,65.441,52.1498,35.73,49,43,15.68,RU,1619935305
447,Ulaanbaatar,47.9077,106.8832,57.2,30,40,24.61,MN,1619935062
448,Bartica,6.4,-58.6167,75.2,94,75,2.3,GY,1619935306
449,Novoagansk,61.9449,76.6625,39.25,76,100,16.02,RU,1619935306
450,Şile,41.1754,29.6133,71.6,60,0,4.61,TR,1619935307
451,Cururupu,-1.8283,-44.8683,72.48,98,97,2.46,BR,1619935307
452,Djougou,9.7085,1.666,74.79,75,97,5.03,BJ,1619935308
453,Saint-Joseph,-21.3667,55.6167,84.2,54,0,3.44,RE,1619935308
454,Zyryanka,65.75,150.85,37.53,59,26,7.45,RU,1619935308
455,Chiredzi,-21.05,31.6667,64.51,66,55,9.15,ZW,1619935309
456,Forsytheganj,52.6333,29.7333,51.28,85,98,11.21,BY,1619935309
457,Riberalta,-10.9833,-66.1,75.83,75,94,1.19,BO,1619935310
458,Iskateley,67.6803,53.1512,28.44,92,100,25.79,RU,1619935310
459,Sheregesh,52.9209,87.9869,38.35,78,100,8.43,RU,1619935310
460,São Filipe,14.8961,-24.4956,71.02,73,7,12.73,CV,1619935311
461,Mayumba,-3.432,10.6554,77.86,89,100,1.57,GA,1619935311
462,Kodinsk,58.6881,99.1844,39.13,94,70,6.91,RU,1619935312
463,Nyurba,63.2842,118.3319,33.48,99,100,2.1,RU,1619935312
464,Margate,51.3813,1.3862,44.01,80,12,4.0,GB,1619935261
465,Bathsheba,13.2167,-59.5167,78.8,65,40,11.5,BB,1619935313
466,Nieuw Amsterdam,5.8833,-55.0833,77.0,93,100,6.62,SR,1619935313
467,Gushikawa,26.3544,127.8686,80.6,47,20,9.22,JP,1619935314
468,Monroe,43.1501,-77.6831,57.0,54,75,10.36,US,1619935314
469,San Fernando,15.0286,120.6898,96.8,38,75,6.91,PH,1619935021
470,Ryōtsu-minato,38.0833,138.4333,53.6,87,75,32.21,JP,1619935315
471,Labytnangi,66.6572,66.4183,32.25,98,99,6.06,RU,1619935315
472,Qurayyat,31.3318,37.3428,69.8,26,0,13.8,SA,1619935316
473,Dāmghān,36.1683,54.348,69.67,48,99,7.2,IR,1619935316
474,Kisesa,-3.0833,34.15,68.79,77,88,6.62,TZ,1619935317
475,Bandarbeyla,9.4942,50.8122,86.54,65,96,8.39,SO,1619935317
476,Agüimes,27.9054,-15.4461,66.2,68,75,17.27,ES,1619935317
477,Yumen,40.2833,97.2,69.76,15,2,12.48,CN,1619935318
478,Tocopilla,-22.092,-70.1979,65.64,67,42,3.76,CL,1619935313
479,Huilong,31.8111,121.655,66.99,45,13,4.0,CN,1619935318
480,Ahlat,38.7518,42.4814,52.95,58,40,4.34,TR,1619935319
481,Vilyuysk,63.7553,121.6247,36.46,98,100,5.44,RU,1619935319
482,Burnie,-41.0667,145.9167,61.0,88,99,3.0,AU,1619935076
483,Shizunai-furukawachō,42.3339,142.3669,43.72,79,100,12.97,JP,1619935320
484,Lakefield,43.6775,-95.1717,71.6,28,1,9.22,US,1619935320
485,Northampton,40.8754,-75.2499,53.01,72,95,5.93,US,1619935321
486,Oranjestad,12.524,-70.027,80.6,78,20,14.97,AW,1619935162
487,Itapaci,-14.9508,-49.5494,65.03,87,85,3.47,BR,1619935321
488,Barcelos,41.5388,-8.6151,45.0,93,0,4.61,PT,1619935322
489,North Bend,43.4065,-124.2243,51.8,87,90,8.05,US,1619935322
490,Pundaguitan,6.3711,126.1689,82.67,77,47,11.97,PH,1619935322
491,Požarevac,44.6153,21.1825,71.01,64,0,14.97,RS,1619935323
492,Hauterive,46.0901,3.4459,43.0,93,75,3.44,FR,1619935323
493,Bunia,1.5667,30.25,65.64,90,100,3.18,CD,1619935324
494,Ishigaki,24.3448,124.1572,78.8,78,75,8.05,JP,1619935324
495,El Dorado,38.7666,-120.5177,55.4,71,1,5.97,US,1619935324
496,Kumul,42.8,93.45,69.57,13,97,12.24,CN,1619935325
497,New Ulm,44.3125,-94.4605,69.8,26,1,4.34,US,1619935310
498,Vila,42.0304,-8.1588,37.0,91,0,1.99,PT,1619935325
499,Rongcheng,30.634,117.8517,76.1,48,9,13.2,CN,1619935326
500,Rudnichnyy,59.617,52.4703,39.87,48,7,10.04,RU,1619935327
501,Kathu,7.9178,98.3332,91.4,58,40,10.36,TH,1619935327
502,Haines Junction,60.7522,-137.5108,39.2,56,81,8.05,CA,1619935328
503,Ust-Kuyga,70.0167,135.6,33.04,98,19,3.33,RU,1619935328
504,Gulu,2.7746,32.299,70.72,83,75,2.82,UG,1619935328
505,Caravelas,-17.7125,-39.2481,70.25,87,97,4.05,BR,1619935329
506,Sterling,39.0062,-77.4286,55.0,50,1,10.36,US,1619935329
507,Macao,22.2006,113.5461,86.0,83,20,10.36,MO,1619935330
508,Tall Kayf,37.0833,41.0667,75.61,29,2,16.15,TR,1619935330
509,Östersund,63.1792,14.6357,30.2,74,33,3.44,SE,1619935100
510,Arbazh,57.6804,48.3065,45.9,53,7,4.09,RU,1619935331
511,Lethem,3.3803,-59.7968,75.58,87,99,8.08,GY,1619935331
512,Kletskaya,49.3145,43.0584,60.01,92,66,4.0,RU,1619935332
513,Dodoma,-6.1722,35.7395,71.6,78,75,5.75,TZ,1619935155
514,Melo,-32.3667,-54.1833,56.3,81,0,3.29,UY,1619935332
515,Pangnirtung,66.1451,-65.7125,31.28,76,90,8.84,CA,1619935333
516,Whitehorse,60.7161,-135.0538,41.0,70,75,3.44,CA,1619935333
517,Sisimiut,66.9395,-53.6735,34.52,72,2,3.53,GL,1619935334
518,Solnechnyy,50.7214,136.6319,41.4,73,100,10.25,RU,1619935334
519,Norman Wells,65.282,-126.8329,37.4,56,40,3.44,CA,1619935334
520,Lodwar,3.1191,35.5973,87.31,43,29,9.93,KE,1619935335
521,Nouadhibou,20.931,-17.0347,64.4,82,51,18.41,MR,1619935335
522,Flinders,-34.5833,150.8552,73.99,70,100,4.0,AU,1619935336
523,Markova,48.6758,24.4138,55.4,94,75,4.32,UA,1619935336
524,Quelimane,-17.8786,36.8883,71.6,100,75,5.75,MZ,1619935323
525,Río Cuarto,-33.1307,-64.3499,57.99,84,51,3.0,AR,1619935337
526,Kalmunai,7.4167,81.8167,87.53,63,46,6.85,LK,1619935337
527,Alcañiz,41.05,-0.1333,51.01,78,95,4.0,ES,1619935338
528,Griffith,41.5284,-87.4237,68.0,63,1,11.5,US,1619935338
529,Zorritos,-3.6805,-80.6782,74.44,78,82,2.93,PE,1619935339
530,Olinda,-8.0089,-34.8553,71.6,88,40,2.3,BR,1619935339
531,Luknovo,56.1983,42.04,49.14,54,19,5.7,RU,1619935339
532,Marabu,4.4148,114.0089,89.6,70,40,6.91,MY,1619935340
533,Sawākin,19.1059,37.3321,87.35,55,64,4.47,SD,1619935280
534,Lamu,-2.2717,40.902,83.91,73,80,13.0,KE,1619935340
535,Khovd,48.0056,91.6419,39.27,40,69,25.17,MN,1619935341
536,San Nicolas,18.1725,120.5953,87.8,74,20,9.22,PH,1619935341
537,Lufkin,31.3382,-94.7291,69.8,94,90,4.61,US,1619935342
538,Abū Zabad,12.35,29.25,90.1,32,92,6.82,SD,1619935342
539,Pozo Colorado,-23.4923,-58.7972,66.22,58,1,5.79,PY,1619935343
540,Pachino,36.7186,15.0907,71.6,60,100,3.44,IT,1619935343
541,Carauari,-4.8828,-66.8958,70.47,99,80,2.35,BR,1619935343
542,Tondano,1.3038,124.9112,78.8,89,40,3.44,ID,1619935344
543,Liaocheng,36.4439,115.9647,71.78,14,95,6.53,CN,1619935344
544,Kampot,10.6167,104.1833,89.6,74,20,11.5,KH,1619935345
545,Penzance,50.1186,-5.5371,42.01,81,7,5.3,GB,1619935345
546,Padang,-0.9492,100.3543,87.8,74,40,6.91,ID,1619935346
547,Villazón,-22.0866,-65.5942,44.02,28,4,0.67,BO,1619935346
548,Kamina,-8.7386,24.9906,65.1,94,100,2.17,CD,1619935347
549,Gimli,50.6336,-96.9907,42.8,70,42,10.36,CA,1619935347
550,City of San Pedro,14.35,121.0167,93.2,52,20,11.5,PH,1619935348
551,Grand Gaube,-20.0064,57.6608,82.99,77,13,7.0,MU,1619935348
552,Dubrovka,53.6907,33.5071,44.6,100,90,6.71,RU,1619935348
553,Dok Kham Tai,19.1624,99.9934,88.54,54,41,5.86,TH,1619935349
554,Kabo,7.6994,18.629,79.61,62,98,6.6,CF,1619935349
555,Husavik,66.0449,-17.3389,32.0,69,90,5.75,IS,1619935350
556,Ballina,-28.8667,153.5667,73.4,68,40,10.36,AU,1619935350
557,Kaoma,-14.7833,24.8,64.94,87,97,6.24,ZM,1619935350
558,Henties Bay,-22.116,14.2845,64.0,66,65,1.01,NA,1619935351
559,Warmbad,-28.45,18.7333,57.09,33,0,14.56,NA,1619935351
560,Lovozero,68.005,35.0117,26.62,86,77,9.6,RU,1619935352
561,Iquique,-20.2208,-70.1431,59.0,77,0,4.59,CL,1619935346
